coenti;ramos;UF; premio_dir ;Filtro
5720;351;SP;2.179.914,00;S
5720;378;ES;203.600,00;S
5720;520;SP;418.699,00;S
5720;531;SP;38.675.941,50;S
5720;553;SP;11.690.068,60;S
5720;621;SP;3.107.530,00;S
5720;622;SP;2.523.903,30;S
5720;628;SP;7.485.875,80;S
5720;632;SP;51.057,20;S
5720;638;MG;1.200.010,00;S
5720;652;ES;135.886,10;S
5720;654;SP;1.903.953,70;S
5720;655;SP;1.266.446,20;S
5720;656;AM;69.755,90;S
5720;746;SP;42.016,00;S
5720;775;ES;164.036,90;S
5720;776;SP;100.490,10;S
5720;977;PR;494.108,00;S
5720;981;RJ;93.668,30;S
5720;982;DF;2.111.805,70;S
5720;990;RJ;29.473,00;S
5720;993;SP;2.968.229,80;S
5720;1101;MT;855.458,60;S
5720;1102;GO;17.727,00;S
5720;1130;SP;1.131.279,60;S
5720;1162;PR;1.196.232,80;S
5720;1369;SP;790.864,60;S
5720;1377;RS;1.177.702,90;S
5720;1381;SP;195.543,80;S
5720;1384;SP;15.300,20;S
5720;1391;SP;388.188,70;S
